"Session_name_id_label","Count"
"Why a strong foundation is essential for succesful AI Transformation in Banking (ID: 315142)",48
"Why AI Pilots Stall in Banking: Bridging Probabilistic AI and Deterministic Execution with the Context Graph (ID: 302934)",64
"Where are We Now? The Great Reinvention of Banking (ID: 302894)",100
"What Banks Can Learn About Transformation from the Defence & Intelligence Communities (ID: 302899)",84
"Trust by Design: Infrastructure, Risk and Resilience in Modern Banking (ID: 302955)",57
"Trust Is the Real Bottleneck: Implementing agentic workflows in Banking (ID: 302908)",110
"Tokenisation and the Reinvention of Value (ID: 302920)",63
"Time Capsule 2027: The Decisions We'll Be Judged on Next Year (ID: 302968)",67
"The Value Road Map to Become an AI-ready Bank (ID: 302923)",45
"The Moving Pound: Reinventing Payments and the Architecture of Value (ID: 302932)",47
"The Go‑Live Imperative: De‑Risking Transformation Whilst Accelerating Value (ID: 310975)",9
"The Future of Software Engineering (ID: 302910)",51
"The AI Frontier:  from experiments to scalable advantage in banking (ID: 302895)",84
"Smart Models, Strict Rules: Navigating Risk in the Age of Generative AI (ID: 302931)",36
"Room 101: What Banking Needs to Leave Behind (ID: 302962)",46
"Pometry is the context layer for enterprise. (ID: 308023)",30
"Podcast Panel: The Agentic Bank: What’s really working (ID: 302953)",45
"Permission to F**k up (ID: 302898)",55
"People, Purpose and Personalisation: The New CX in Banking (ID: 302906)",64
"People Deposit Trust, Not Just Money (ID: 302933)",32
"Opening Remarks: Where Banks Shape What's Next (ID: 303854)",182
"OpenAI and the Future of Banking (ID: 302948)",97
"No AI Without Human Intelligence (ID: 302927)",40
"Next-Gen CX Automation: Personalisation in Real Time (ID: 302917)",85
"Multi-Rail Banking at Scale: Beating Margin through Volume (ID: 305603)",16
"Money That Moves Faster Than Institutions (ID: 302944)",58
"Modernise siloed data assets into trusted, AI-accessible knowledge with Impetus LeapLogic™ Suite (ID: 308024)",21
"Leadership at the Edge: Humans, Machines and Accountability (ID: 302942)",117
"Infrastructure That Doesn't Buckle Under Pressure (ID: 302959)",49
"From Output to Outcome: The Race to Reinvent Customer Communications (ID: 302928)",54
"From ESG Promises to Real Change: Can Banking Deliver? (ID: 302960)",35
"From Concept to Production: Reimagining Wealth Management with AI (ID: 314195)",47
"From Automation to Autonomy: Transforming Banking Operations with Agentic GenAI (ID: 302921)",70
"From Ambition to Architecture: What Vision Really Demands (ID: 302912)",63
"Embedded Finance & Invisible Services: Who Owns the Customer Now? (ID: 302903)",95
"Digitising your impact to motivate your people (ID: 302945)",40
"Digital Investment is Live. Why Isn't Adoption Keeping Up? (ID: 302902)",55
"Designing Trust When Decisions Become Invisible (ID: 302964)",20
"Day 2 Arrival (ID: 314984)",289
"Data You Can Defend: Building Decision-Grade Information (ID: 302915)",66
"Cloud or Bust - Balancing Efficiency and Agility in Banking Technology (ID: 302914)",52
"Built to Last: Designing Bank Infrastructure That Earns Trust (ID: 302919)",46
"Building the Real-Time, Secure Bank (ID: 302967)",33
"Building Trust-Ready Infrastructure: Powering Secure, Real-Time Banking with AI (ID: 302936)",17
"Building Banks That Bend: AI, Infrastructure and the Adaptive Edge (ID: 302930)",50
"Breakfast Boardroom: Building Trustworthy AI for Banking (ID: 302940)",71
"Blink and It's Gone: The Race to Instant Payments (ID: 302956)",65
"Beyond the Bot: Conquering Banking's Hardest Frontiers with Agentic AI (ID: 302901)",93
"Behind the Screens: How Banks Make Their Digital Backbone Tick (ID: 302905)",51
"Banking the Next Transformation (ID: 302925)",100
"AI in Production: Control, Infrastructure and the Reality of Scaling (ID: 309682)",14
